Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Error [mN] 
NeverWet, 12.7, 26.22, Descending, 000, 8.046358e-02, 1.719356e-01 
NeverWet, 12.7, 26.22, Descending, 2.500000e-01, 3.906642e-02, 1.639316e-01 
NeverWet, 12.7, 26.22, Descending, 5.000000e-01, 7.589330e-03, 1.493101e-01 
NeverWet, 12.7, 26.22, Descending, 7.500000e-01, 2.822075e-02, 1.492247e-01 
NeverWet, 12.7, 26.22, Descending, 001, 5.969282e-02, 1.491712e-01 
NeverWet, 12.7, 26.22, Descending, 1.250000e+00, 9.417627e-02, 1.490347e-01 
NeverWet, 12.7, 26.22, Descending, 1.500000e+00, 1.326164e-01, 1.494181e-01 
NeverWet, 12.7, 26.22, Descending, 1.750000e+00, 1.923552e-01, 1.497987e-01 
NeverWet, 12.7, 26.22, Descending, 002, 2.718918e-01, 1.501119e-01 
NeverWet, 12.7, 26.22, Descending, 2.250000e+00, 3.216361e-01, 1.494303e-01 
NeverWet, 12.7, 26.22, Descending, 2.500000e+00, 3.791563e-01, 1.487040e-01 
NeverWet, 12.7, 26.22, Descending, 2.750000e+00, 4.537686e-01, 1.491506e-01 
NeverWet, 12.7, 26.22, Descending, 003, 5.104928e-01, 1.490703e-01 
NeverWet, 12.7, 26.22, Descending, 3.250000e+00, 5.870148e-01, 1.495114e-01 
NeverWet, 12.7, 26.22, Descending, 3.500000e+00, 6.737560e-01, 1.489145e-01 
NeverWet, 12.7, 26.22, Descending, 3.750000e+00, 7.541772e-01, 1.492868e-01 
NeverWet, 12.7, 26.22, Descending, 004, 8.083293e-01, 1.487823e-01 
NeverWet, 12.7, 26.22, Descending, 4.250000e+00, 8.746043e-01, 1.496838e-01 
NeverWet, 12.7, 26.22, Descending, 4.500000e+00, 9.600224e-01, 1.485236e-01 
NeverWet, 12.7, 26.22, Descending, 4.750000e+00, 1.038663e+00, 1.494551e-01 
NeverWet, 12.7, 26.22, Descending, 005, 1.109856e+00, 1.498758e-01 
NeverWet, 12.7, 26.22, Descending, 5.250000e+00, 1.214895e+00, 1.509986e-01 
NeverWet, 12.7, 26.22, Descending, 5.500000e+00, 1.293960e+00, 1.494675e-01 
NeverWet, 12.7, 26.22, Descending, 5.750000e+00, 1.384673e+00, 1.486058e-01 
NeverWet, 12.7, 26.22, Descending, 006, 1.471941e+00, 1.484745e-01 
NeverWet, 12.7, 26.22, Descending, 6.250000e+00, 1.589999e+00, 1.492048e-01 
NeverWet, 12.7, 26.22, Descending, 6.500000e+00, 1.657995e+00, 1.490370e-01 
NeverWet, 12.7, 26.22, Descending, 6.750000e+00, 1.773384e+00, 1.489605e-01 
NeverWet, 12.7, 26.22, Descending, 007, 1.866568e+00, 1.506868e-01 
NeverWet, 12.7, 26.22, Descending, 7.250000e+00, 1.987999e+00, 1.485483e-01 
NeverWet, 12.7, 26.22, Descending, 7.500000e+00, 2.082270e+00, 1.513524e-01 
NeverWet, 12.7, 26.22, Descending, 7.750000e+00, 2.185927e+00, 1.490314e-01 
NeverWet, 12.7, 26.22, Descending, 008, 2.294890e+00, 1.538662e-01 
NeverWet, 12.7, 26.22, Descending, 8.250000e+00, 2.395316e+00, 1.522607e-01 
NeverWet, 12.7, 26.22, Descending, 8.500000e+00, 2.539435e+00, 1.494010e-01 
NeverWet, 12.7, 26.22, Descending, 8.750000e+00, 2.654720e+00, 1.538582e-01 
NeverWet, 12.7, 26.22, Descending, 009, 2.811059e+00, 1.548345e-01 
NeverWet, 12.7, 26.22, Descending, 9.250000e+00, 2.907715e+00, 1.499131e-01 
NeverWet, 12.7, 26.22, Descending, 9.500000e+00, 3.045993e+00, 1.501884e-01 
NeverWet, 12.7, 26.22, Descending, 9.750000e+00, 3.185979e+00, 1.513968e-01 
NeverWet, 12.7, 26.22, Descending, 010, 3.367549e+00, 1.487195e-01 
NeverWet, 12.7, 26.22, Descending, 1.025000e+01, 3.532210e+00, 1.577263e-01 
NeverWet, 12.7, 26.22, Descending, 1.050000e+01, 3.700724e+00, 1.557750e-01 
NeverWet, 12.7, 26.22, Descending, 1.075000e+01, 3.875634e+00, 1.569365e-01 
NeverWet, 12.7, 26.22, Descending, 011, 3.992995e+00, 1.514471e-01 
NeverWet, 12.7, 26.22, Descending, 1.125000e+01, 4.179225e+00, 1.573808e-01 
NeverWet, 12.7, 26.22, Descending, 1.150000e+01, 4.285993e+00, 1.540770e-01 
NeverWet, 12.7, 26.22, Descending, 1.175000e+01, 4.483569e+00, 1.547841e-01 
NeverWet, 12.7, 26.22, Descending, 012, 4.641657e+00, 1.539208e-01 
NeverWet, 12.7, 26.22, Descending, 1.225000e+01, 4.806599e+00, 1.608847e-01 
NeverWet, 12.7, 26.22, Descending, 1.250000e+01, 4.977903e+00, 1.588770e-01 
NeverWet, 12.7, 26.22, Descending, 1.275000e+01, 5.161578e+00, 1.682994e-01 
NeverWet, 12.7, 26.22, Descending, 013, 5.416958e+00, 1.631836e-01 
NeverWet, 12.7, 26.22, Descending, 1.325000e+01, 5.617320e+00, 1.874227e-01 
NeverWet, 12.7, 26.22, Descending, 1.350000e+01, 5.708030e+00, 1.648644e-01 
NeverWet, 12.7, 26.22, Descending, 1.375000e+01, 5.854342e+00, 1.815259e-01 
NeverWet, 12.7, 26.22, Descending, 014, 6.062190e+00, 1.659697e-01 
