U (nominal) [cm/s], z [cm], U [cm/s], SD [cm/s] 
2.622760e+01, -1.374642e+00, 2.615250e+01, 8.325760e-01
2.622760e+01, -1.454983e+00, 2.616148e+01, 8.448287e-01
2.622760e+01, -1.535323e+00, 2.614950e+01, 8.038436e-01
2.622760e+01, -1.615663e+00, 2.612902e+01, 8.004385e-01
2.622760e+01, -1.696004e+00, 2.611971e+01, 7.858129e-01
2.622760e+01, -1.776344e+00, 2.612098e+01, 7.719174e-01
2.622760e+01, -1.856684e+00, 2.613520e+01, 7.848121e-01
2.622760e+01, -1.937025e+00, 2.612538e+01, 7.486635e-01
2.622760e+01, -2.017365e+00, 2.611218e+01, 7.233880e-01
2.622760e+01, -2.097705e+00, 2.610145e+01, 7.278093e-01
2.622760e+01, -2.178046e+00, 2.610198e+01, 7.314091e-01
2.622760e+01, -2.258386e+00, 2.610157e+01, 7.050963e-01
2.622760e+01, -2.338726e+00, 2.607131e+01, 7.055901e-01
2.622760e+01, -2.419067e+00, 2.603025e+01, 6.994933e-01
2.622760e+01, -2.499407e+00, 2.600771e+01, 6.916200e-01
2.622760e+01, -2.579747e+00, 2.599725e+01, 6.662145e-01
2.622760e+01, -2.660088e+00, 2.597372e+01, 6.607713e-01
2.622760e+01, -2.740428e+00, 2.598609e+01, 6.536917e-01
2.622760e+01, -2.820768e+00, 2.598441e+01, 6.648963e-01
2.622760e+01, -2.901109e+00, 2.595852e+01, 6.780100e-01
2.622760e+01, -2.981449e+00, 2.594616e+01, 6.734029e-01
2.622760e+01, -3.061789e+00, 2.591362e+01, 6.769151e-01
2.622760e+01, -3.142130e+00, 2.588402e+01, 6.913466e-01
2.622760e+01, -3.222470e+00, 2.584076e+01, 7.264057e-01
2.622760e+01, -3.302810e+00, 2.578262e+01, 7.419434e-01
2.622760e+01, -3.383151e+00, 2.575971e+01, 7.328984e-01
2.622760e+01, -3.463491e+00, 2.573181e+01, 7.748605e-01
2.622760e+01, -3.543831e+00, 2.568444e+01, 8.035976e-01
2.622760e+01, -3.624172e+00, 2.564606e+01, 8.285654e-01
2.622760e+01, -3.704512e+00, 2.560044e+01, 8.791081e-01
2.622760e+01, -3.784852e+00, 2.553846e+01, 9.351676e-01
2.622760e+01, -3.865193e+00, 2.544402e+01, 1.025627e+00
2.622760e+01, -3.945533e+00, 2.529271e+01, 1.156522e+00
2.622760e+01, -4.025873e+00, 2.507068e+01, 1.335568e+00
2.622760e+01, -4.106214e+00, 2.480251e+01, 1.550414e+00
2.622760e+01, -4.186554e+00, 2.443853e+01, 1.858667e+00
2.622760e+01, -4.266894e+00, 2.401832e+01, 2.103467e+00
2.622760e+01, -4.347235e+00, 2.354157e+01, 2.323206e+00
2.622760e+01, -4.427575e+00, 2.297295e+01, 2.587778e+00
2.622760e+01, -4.507915e+00, 2.230411e+01, 2.894440e+00
2.622760e+01, -4.588256e+00, 2.134992e+01, 3.159327e+00
2.622760e+01, -4.668596e+00, 1.987991e+01, 3.379477e+00
2.622760e+01, -4.748936e+00, 1.762945e+01, 3.579404e+00
2.622760e+01, -4.829277e+00, 1.463902e+01, 3.340187e+00
2.622760e+01, -4.909617e+00, 1.267682e+01, 3.080752e+00
2.367363e+01, -8.856454e-03, 2.392411e+01, 8.251216e-01
2.367363e+01, -8.919679e-02, 2.345726e+01, 9.621219e-01
2.367363e+01, -1.695371e-01, 2.360362e+01, 1.175731e+00
2.367363e+01, -2.498775e-01, 2.373507e+01, 1.052058e+00
2.367363e+01, -3.302178e-01, 2.373233e+01, 1.013326e+00
2.367363e+01, -4.105581e-01, 2.369729e+01, 9.766321e-01
2.367363e+01, -4.908985e-01, 2.370941e+01, 9.653416e-01
2.367363e+01, -5.712388e-01, 2.367369e+01, 9.264557e-01
2.367363e+01, -6.515792e-01, 2.364543e+01, 9.024223e-01
2.367363e+01, -7.319195e-01, 2.363600e+01, 8.699453e-01
2.367363e+01, -8.122598e-01, 2.359568e+01, 8.514660e-01
2.367363e+01, -8.926002e-01, 2.360566e+01, 8.278304e-01
2.367363e+01, -9.729405e-01, 2.361950e+01, 8.092371e-01
2.367363e+01, -1.053281e+00, 2.357818e+01, 7.958067e-01
2.367363e+01, -1.133621e+00, 2.356447e+01, 7.785903e-01
2.367363e+01, -1.213962e+00, 2.354433e+01, 7.592889e-01
2.367363e+01, -1.294302e+00, 2.353727e+01, 7.496738e-01
2.367363e+01, -1.374642e+00, 2.354822e+01, 7.469045e-01
2.367363e+01, -1.454983e+00, 2.353106e+01, 7.359498e-01
2.367363e+01, -1.535323e+00, 2.353066e+01, 7.254317e-01
2.367363e+01, -1.615663e+00, 2.351960e+01, 7.282406e-01
2.367363e+01, -1.696004e+00, 2.350339e+01, 7.131933e-01
2.367363e+01, -1.776344e+00, 2.352356e+01, 7.107709e-01
2.367363e+01, -1.856684e+00, 2.351847e+01, 7.029440e-01
2.367363e+01, -1.937025e+00, 2.350262e+01, 6.879235e-01
2.367363e+01, -2.017365e+00, 2.350180e+01, 6.879750e-01
2.367363e+01, -2.097705e+00, 2.349560e+01, 6.768026e-01
2.367363e+01, -2.178046e+00, 2.347994e+01, 6.798257e-01
2.367363e+01, -2.258386e+00, 2.346989e+01, 6.679320e-01
2.367363e+01, -2.338726e+00, 2.346343e+01, 6.498391e-01
2.367363e+01, -2.419067e+00, 2.344028e+01, 6.568326e-01
2.367363e+01, -2.499407e+00, 2.343104e+01, 6.438838e-01
2.367363e+01, -2.579747e+00, 2.345402e+01, 6.400936e-01
2.367363e+01, -2.660088e+00, 2.343277e+01, 6.287394e-01
2.367363e+01, -2.740428e+00, 2.342575e+01, 6.437516e-01
2.367363e+01, -2.820768e+00, 2.343106e+01, 6.516325e-01
2.367363e+01, -2.901109e+00, 2.342945e+01, 6.510003e-01
2.367363e+01, -2.981449e+00, 2.340633e+01, 6.476895e-01
2.367363e+01, -3.061789e+00, 2.339430e+01, 6.462595e-01
2.367363e+01, -3.142130e+00, 2.337265e+01, 6.432223e-01
2.367363e+01, -3.222470e+00, 2.332138e+01, 6.461626e-01
2.367363e+01, -3.302810e+00, 2.330475e+01, 6.539336e-01
2.367363e+01, -3.383151e+00, 2.327219e+01, 6.488357e-01
2.367363e+01, -3.463491e+00, 2.326658e+01, 6.555562e-01
2.367363e+01, -3.543831e+00, 2.324337e+01, 6.622437e-01
2.367363e+01, -3.624172e+00, 2.320444e+01, 6.647233e-01
2.367363e+01, -3.704512e+00, 2.316900e+01, 6.790640e-01
2.367363e+01, -3.784852e+00, 2.311443e+01, 7.241444e-01
2.367363e+01, -3.865193e+00, 2.305411e+01, 7.904817e-01
2.367363e+01, -3.945533e+00, 2.297042e+01, 8.678619e-01
2.367363e+01, -4.025873e+00, 2.283626e+01, 9.835718e-01
2.367363e+01, -4.106214e+00, 2.265705e+01, 1.177216e+00
2.367363e+01, -4.186554e+00, 2.239165e+01, 1.444287e+00
2.367363e+01, -4.266894e+00, 2.205218e+01, 1.712462e+00
2.367363e+01, -4.347235e+00, 2.157985e+01, 1.994053e+00
2.367363e+01, -4.427575e+00, 2.091270e+01, 2.356925e+00
2.367363e+01, -4.507915e+00, 2.005901e+01, 2.779549e+00
2.367363e+01, -4.588256e+00, 1.897380e+01, 3.087462e+00
2.367363e+01, -4.668596e+00, 1.748261e+01, 3.353038e+00
2.367363e+01, -4.748936e+00, 1.525799e+01, 3.422997e+00
2.367363e+01, -4.829277e+00, 1.227790e+01, 3.106467e+00
2.367363e+01, -4.909617e+00, 1.039593e+01, 2.784211e+00
2.080592e+01, -8.856454e-03, 2.083371e+01, 8.988557e-01
2.080592e+01, -8.919679e-02, 2.068025e+01, 9.146114e-01
2.080592e+01, -1.695371e-01, 2.080933e+01, 1.055274e+00
2.080592e+01, -2.498775e-01, 2.083376e+01, 1.016747e+00
2.080592e+01, -3.302178e-01, 2.081006e+01, 9.601466e-01
2.080592e+01, -4.105581e-01, 2.082444e+01, 9.149066e-01
2.080592e+01, -4.908985e-01, 2.081626e+01, 8.942550e-01
2.080592e+01, -5.712388e-01, 2.081094e+01, 8.806341e-01
2.080592e+01, -6.515792e-01, 2.083641e+01, 8.483332e-01
2.080592e+01, -7.319195e-01, 2.081937e+01, 8.178736e-01
2.080592e+01, -8.122598e-01, 2.079059e+01, 8.077760e-01
2.080592e+01, -8.926002e-01, 2.079673e+01, 7.797541e-01
2.080592e+01, -9.729405e-01, 2.079515e+01, 7.604823e-01
2.080592e+01, -1.053281e+00, 2.079007e+01, 7.528611e-01
2.080592e+01, -1.133621e+00, 2.077326e+01, 7.320118e-01
2.080592e+01, -1.213962e+00, 2.075972e+01, 7.417716e-01
2.080592e+01, -1.294302e+00, 2.076213e+01, 7.056177e-01
2.080592e+01, -1.374642e+00, 2.076163e+01, 6.829704e-01
2.080592e+01, -1.454983e+00, 2.074518e+01, 6.927961e-01
2.080592e+01, -1.535323e+00, 2.072240e+01, 6.723038e-01
2.080592e+01, -1.615663e+00, 2.072314e+01, 6.683085e-01
2.080592e+01, -1.696004e+00, 2.072800e+01, 6.642078e-01
2.080592e+01, -1.776344e+00, 2.073258e+01, 6.490161e-01
2.080592e+01, -1.856684e+00, 2.073000e+01, 6.450766e-01
2.080592e+01, -1.937025e+00, 2.069839e+01, 6.241388e-01
2.080592e+01, -2.017365e+00, 2.070269e+01, 6.174412e-01
2.080592e+01, -2.097705e+00, 2.071573e+01, 6.147812e-01
2.080592e+01, -2.178046e+00, 2.069740e+01, 6.123112e-01
2.080592e+01, -2.258386e+00, 2.071807e+01, 6.121975e-01
2.080592e+01, -2.338726e+00, 2.071191e+01, 6.006131e-01
