Material, D [mm], U [cm/s], Direction, H [mm], Mean Force [mN], Error [mN] 
Acrylic, 12.7, 2.952000e+01, Descending, 000, 2.393603e-01, 1.572506e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 2.500000e-01, 3.450613e-01, 1.512397e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 5.000000e-01, 3.799805e-01, 1.498414e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 7.500000e-01, 3.883389e-01, 1.503808e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 001, 4.114033e-01, 1.499365e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.250000e+00, 4.338611e-01, 1.491359e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.500000e+00, 4.523185e-01, 1.496120e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.750000e+00, 4.594524e-01, 1.503076e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 002, 4.809912e-01, 1.503670e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 2.250000e+00, 5.091498e-01, 1.497334e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 2.500000e+00, 5.436407e-01, 1.496608e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 2.750000e+00, 5.688353e-01, 1.495478e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 003, 5.914125e-01, 1.494151e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 3.250000e+00, 6.578408e-01, 1.509818e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 3.500000e+00, 7.027646e-01, 1.496139e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 3.750000e+00, 7.677127e-01, 1.501392e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 004, 8.243827e-01, 1.491473e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 4.250000e+00, 8.956110e-01, 1.511719e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 4.500000e+00, 9.843089e-01, 1.500541e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 4.750000e+00, 1.062782e+00, 1.518733e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 005, 1.159313e+00, 1.515039e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 5.250000e+00, 1.267022e+00, 1.495279e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 5.500000e+00, 1.397504e+00, 1.484754e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 5.750000e+00, 1.526005e+00, 1.518376e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 006, 1.659224e+00, 1.510209e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 6.250000e+00, 1.802378e+00, 1.502077e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 6.500000e+00, 1.944555e+00, 1.505706e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 6.750000e+00, 2.075037e+00, 1.538244e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 007, 2.231304e+00, 1.519494e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 7.250000e+00, 2.404780e+00, 1.508144e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 7.500000e+00, 2.503426e+00, 1.509709e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 7.750000e+00, 2.662926e+00, 1.580110e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 008, 2.784139e+00, 1.542016e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 8.250000e+00, 2.922506e+00, 1.554611e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 8.500000e+00, 3.113349e+00, 1.516938e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 8.750000e+00, 3.322618e+00, 1.553772e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 009, 3.459254e+00, 1.561467e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 9.250000e+00, 3.653270e+00, 1.515370e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 9.500000e+00, 3.846894e+00, 1.526983e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 9.750000e+00, 4.004585e+00, 1.563922e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 010, 4.223622e+00, 1.525479e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.025000e+01, 4.490656e+00, 1.518973e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.050000e+01, 4.698338e+00, 1.535738e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.075000e+01, 4.913282e+00, 1.531920e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 011, 5.153167e+00, 1.614145e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.125000e+01, 5.333654e+00, 1.499625e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.150000e+01, 5.553596e+00, 1.619195e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.175000e+01, 5.722574e+00, 1.716509e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 012, 6.008486e+00, 1.533312e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.225000e+01, 6.151547e+00, 1.534473e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.250000e+01, 6.205410e+00, 1.608162e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.275000e+01, 5.861451e+00, 2.977742e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 013, 4.654586e+00, 1.746153e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.325000e+01, 4.394991e+00, 1.535075e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.350000e+01, 4.323357e+00, 1.516201e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.375000e+01, 4.263898e+00, 1.543973e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 014, 4.222915e+00, 1.547946e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.425000e+01, 4.155934e+00, 1.533157e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.450000e+01, 4.071482e+00, 1.537830e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.475000e+01, 3.979534e+00, 1.531260e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 015, 3.857362e+00, 1.522505e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.525000e+01, 3.756278e+00, 1.533555e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.550000e+01, 3.603151e+00, 1.532018e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.575000e+01, 3.473045e+00, 1.567744e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 016, 3.378177e+00, 1.566291e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.625000e+01, 3.325138e+00, 1.555629e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.650000e+01, 3.224519e+00, 1.525245e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.675000e+01, 3.161082e+00, 1.511059e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 017, 3.106116e+00, 1.534538e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.725000e+01, 3.093399e+00, 1.527939e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.750000e+01, 3.062413e+00, 1.526021e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.775000e+01, 3.036147e+00, 1.510103e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 018, 3.021234e+00, 1.509517e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.825000e+01, 2.974233e+00, 1.498798e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.850000e+01, 2.956485e+00, 1.530341e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 1.875000e+01, 2.959585e+00, 1.534539e-01 
Acrylic, 12.7, 2.952000e+01, Descending, 019, 2.890759e+00, 1.556732e-01 
